subject,trial_number,Cross_position,Circle_1,Position_1,Color_1,Circle_2,Position_2,Color_2,Position_3,Color_3,Position_4,Color_4,p_confidence,response_color,response_time,angle_1,angle_2,angle_3,angle_4,angle_1_cue,angle_2_cue,angle_3_cue,angle_4_cue
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,55,-139.0396897,-19.03968966,-79.03968966,40.96031034,-49.03968966,70.96031034,10.96031034,130.9603103
1,1,0,-1,-1.329182634,3,-1,118.6708174,7,58.67081737,7,178.6708174,5,1,5,65,-1.329182634,118.6708174,58.67081737,178.6708174,88.67081737,208.6708174,148.6708174,268.6708174
1,1,0,-1,-1.329182634,3,-1,118.6708174,7,58.67081737,7,178.6708174,5,5,6,62,-1.329182634,118.6708174,58.67081737,178.6708174,88.67081737,208.6708174,148.6708174,268.6708174
1,1,0,-1,-1.329182634,3,-1,118.6708174,7,58.67081737,7,178.6708174,5,1,4,42,-1.329182634,118.6708174,58.67081737,178.6708174,88.67081737,208.6708174,148.6708174,268.6708174
1,1,0,-1,-1.329182634,3,-1,118.6708174,7,58.67081737,7,178.6708174,5,6,8,53,-1.329182634,118.6708174,58.67081737,178.6708174,88.67081737,208.6708174,148.6708174,268.6708174
1,1,0,-1,-1.329182634,3,-1,118.6708174,7,58.67081737,7,178.6708174,5,2,7,53,-1.329182634,118.6708174,58.67081737,178.6708174,88.67081737,208.6708174,148.6708174,268.6708174
1,1,0,-1,-1.329182634,3,-1,118.6708174,7,58.67081737,7,178.6708174,5,5,1,50,-1.329182634,118.6708174,58.67081737,178.6708174,88.67081737,208.6708174,148.6708174,268.6708174
1,1,0,-1,-1.329182634,3,-1,118.6708174,7,58.67081737,7,178.6708174,5,0,2,64,-1.329182634,118.6708174,58.67081737,178.6708174,88.67081737,208.6708174,148.6708174,268.6708174
1,1,0,-1,-1.329182634,3,-1,118.6708174,7,58.67081737,7,178.6708174,5,3,9,53,-1.329182634,118.6708174,58.67081737,178.6708174,88.67081737,208.6708174,148.6708174,268.6708174
1,1,0,-1,-1.329182634,3,-1,118.6708174,7,58.67081737,7,178.6708174,5,5,3,70,-1.329182634,118.6708174,58.67081737,178.6708174,88.67081737,208.6708174,148.6708174,268.6708174
1,2,0,-1,-102.1384829,6,-1,17.86151711,9,-42.13848289,7,77.86151711,7,3,9,27,-102.1384829,17.86151711,-42.13848289,77.86151711,-12.13848289,107.8615171,47.86151711,167.8615171
1,2,0,-1,-102.1384829,6,-1,17.86151711,9,-42.13848289,7,77.86151711,7,0,8,59,-102.1384829,17.86151711,-42.13848289,77.86151711,-12.13848289,107.8615171,47.86151711,167.8615171
1,2,0,-1,-102.1384829,6,-1,17.86151711,9,-42.13848289,7,77.86151711,7,4,6,51,-102.1384829,17.86151711,-42.13848289,77.86151711,-12.13848289,107.8615171,47.86151711,167.8615171
1,2,0,-1,-102.1384829,6,-1,17.86151711,9,-42.13848289,7,77.86151711,7,7,1,38,-102.1384829,17.86151711,-42.13848289,77.86151711,-12.13848289,107.8615171,47.86151711,167.8615171
1,2,0,-1,-102.1384829,6,-1,17.86151711,9,-42.13848289,7,77.86151711,7,4,7,52,-102.1384829,17.86151711,-42.13848289,77.86151711,-12.13848289,107.8615171,47.86151711,167.8615171
1,2,0,-1,-102.1384829,6,-1,17.86151711,9,-42.13848289,7,77.86151711,7,7,5,53,-102.1384829,17.86151711,-42.13848289,77.86151711,-12.13848289,107.8615171,47.86151711,167.8615171
1,2,0,-1,-102.1384829,6,-1,17.86151711,9,-42.13848289,7,77.86151711,7,7,2,79,-102.1384829,17.86151711,-42.13848289,77.86151711,-12.13848289,107.8615171,47.86151711,167.8615171
1,2,0,-1,-102.1384829,6,-1,17.86151711,9,-42.13848289,7,77.86151711,7,7,4,60,-102.1384829,17.86151711,-42.13848289,77.86151711,-12.13848289,107.8615171,47.86151711,167.8615171
1,2,0,-1,-102.1384829,6,-1,17.86151711,9,-42.13848289,7,77.86151711,7,4,3,66,-102.1384829,17.86151711,-42.13848289,77.86151711,-12.13848289,107.8615171,47.86151711,167.8615171
1,3,0,-1,-16.89407114,1,-1,103.1059289,4,43.10592886,8,163.1059289,4,3,7,54,-16.89407114,103.1059289,43.10592886,163.1059289,73.10592886,193.1059289,133.1059289,253.1059289
1,3,0,-1,-16.89407114,1,-1,103.1059289,4,43.10592886,8,163.1059289,4,6,8,59,-16.89407114,103.1059289,43.10592886,163.1059289,73.10592886,193.1059289,133.1059289,253.1059289
1,3,0,-1,-16.89407114,1,-1,103.1059289,4,43.10592886,8,163.1059289,4,7,6,70,-16.89407114,103.1059289,43.10592886,163.1059289,73.10592886,193.1059289,133.1059289,253.1059289
1,3,0,-1,-16.89407114,1,-1,103.1059289,4,43.10592886,8,163.1059289,4,4,4,66,-16.89407114,103.1059289,43.10592886,163.1059289,73.10592886,193.1059289,133.1059289,253.1059289
1,3,0,-1,-16.89407114,1,-1,103.1059289,4,43.10592886,8,163.1059289,4,1,5,39,-16.89407114,103.1059289,43.10592886,163.1059289,73.10592886,193.1059289,133.1059289,253.1059289
1,3,0,-1,-16.89407114,1,-1,103.1059289,4,43.10592886,8,163.1059289,4,2,9,60,-16.89407114,103.1059289,43.10592886,163.1059289,73.10592886,193.1059289,133.1059289,253.1059289
1,3,0,-1,-16.89407114,1,-1,103.1059289,4,43.10592886,8,163.1059289,4,3,1,59,-16.89407114,103.1059289,43.10592886,163.1059289,73.10592886,193.1059289,133.1059289,253.1059289
1,3,0,-1,-16.89407114,1,-1,103.1059289,4,43.10592886,8,163.1059289,4,7,3,57,-16.89407114,103.1059289,43.10592886,163.1059289,73.10592886,193.1059289,133.1059289,253.1059289
1,3,0,-1,-16.89407114,1,-1,103.1059289,4,43.10592886,8,163.1059289,4,1,2,36,-16.89407114,103.1059289,43.10592886,163.1059289,73.10592886,193.1059289,133.1059289,253.1059289
1,4,0,1,2.00315638,1,1,122.0031564,5,62.00315638,5,182.0031564,7,7,3,61,2.00315638,122.0031564,62.00315638,182.0031564,92.00315638,212.0031564,152.0031564,272.0031564
1,4,0,1,2.00315638,1,1,122.0031564,5,62.00315638,5,182.0031564,7,2,9,70,2.00315638,122.0031564,62.00315638,182.0031564,92.00315638,212.0031564,152.0031564,272.0031564
1,4,0,1,2.00315638,1,1,122.0031564,5,62.00315638,5,182.0031564,7,7,1,76,2.00315638,122.0031564,62.00315638,182.0031564,92.00315638,212.0031564,152.0031564,272.0031564
1,4,0,1,2.00315638,1,1,122.0031564,5,62.00315638,5,182.0031564,7,7,4,56,2.00315638,122.0031564,62.00315638,182.0031564,92.00315638,212.0031564,152.0031564,272.0031564
1,4,0,1,2.00315638,1,1,122.0031564,5,62.00315638,5,182.0031564,7,1,5,72,2.00315638,122.0031564,62.00315638,182.0031564,92.00315638,212.0031564,152.0031564,272.0031564
1,4,0,1,2.00315638,1,1,122.0031564,5,62.00315638,5,182.0031564,7,3,7,57,2.00315638,122.0031564,62.00315638,182.0031564,92.00315638,212.0031564,152.0031564,272.0031564
1,4,0,1,2.00315638,1,1,122.0031564,5,62.00315638,5,182.0031564,7,6,8,76,2.00315638,122.0031564,62.00315638,182.0031564,92.00315638,212.0031564,152.0031564,272.0031564
1,4,0,1,2.00315638,1,1,122.0031564,5,62.00315638,5,182.0031564,7,1,2,87,2.00315638,122.0031564,62.00315638,182.0031564,92.00315638,212.0031564,152.0031564,272.0031564
1,4,0,1,2.00315638,1,1,122.0031564,5,62.00315638,5,182.0031564,7,7,6,38,2.00315638,122.0031564,62.00315638,182.0031564,92.00315638,212.0031564,152.0031564,272.0031564
