subject,trial_number,Cross_position,Circle_1,Position_1,Color_1,Circle_2,Position_2,Color_2,Position_3,Color_3,Position_4,Color_4,p_confidence,response_color,response_time,angle_1,angle_2,angle_3,angle_4,angle_1_cue,angle_2_cue,angle_3_cue,angle_4_cue
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,60,-162.0850604,-42.08506037,-102.0850604,17.91493963,-72.08506037,47.91493963,-12.08506037,107.9149396
1,1,0,-1,-155.1434609,6,-1,-35.14346086,4,-95.14346086,4,24.85653914,6,3,1,51,-155.1434609,-35.14346086,-95.14346086,24.85653914,-65.14346086,54.85653914,-5.143460858,114.8565391
1,1,0,-1,-155.1434609,6,-1,-35.14346086,4,-95.14346086,4,24.85653914,6,4,3,60,-155.1434609,-35.14346086,-95.14346086,24.85653914,-65.14346086,54.85653914,-5.143460858,114.8565391
1,1,0,-1,-155.1434609,6,-1,-35.14346086,4,-95.14346086,4,24.85653914,6,1,8,41,-155.1434609,-35.14346086,-95.14346086,24.85653914,-65.14346086,54.85653914,-5.143460858,114.8565391
1,1,0,-1,-155.1434609,6,-1,-35.14346086,4,-95.14346086,4,24.85653914,6,0,6,60,-155.1434609,-35.14346086,-95.14346086,24.85653914,-65.14346086,54.85653914,-5.143460858,114.8565391
1,1,0,-1,-155.1434609,6,-1,-35.14346086,4,-95.14346086,4,24.85653914,6,4,9,50,-155.1434609,-35.14346086,-95.14346086,24.85653914,-65.14346086,54.85653914,-5.143460858,114.8565391
1,1,0,-1,-155.1434609,6,-1,-35.14346086,4,-95.14346086,4,24.85653914,6,1,4,58,-155.1434609,-35.14346086,-95.14346086,24.85653914,-65.14346086,54.85653914,-5.143460858,114.8565391
1,1,0,-1,-155.1434609,6,-1,-35.14346086,4,-95.14346086,4,24.85653914,6,0,2,51,-155.1434609,-35.14346086,-95.14346086,24.85653914,-65.14346086,54.85653914,-5.143460858,114.8565391
1,1,0,-1,-155.1434609,6,-1,-35.14346086,4,-95.14346086,4,24.85653914,6,1,7,64,-155.1434609,-35.14346086,-95.14346086,24.85653914,-65.14346086,54.85653914,-5.143460858,114.8565391
1,1,0,-1,-155.1434609,6,-1,-35.14346086,4,-95.14346086,4,24.85653914,6,0,5,66,-155.1434609,-35.14346086,-95.14346086,24.85653914,-65.14346086,54.85653914,-5.143460858,114.8565391
1,2,0,-1,-176.3734663,6,-1,-56.37346633,1,-116.3734663,1,3.626533673,8,4,4,58,-176.3734663,-56.37346633,-116.3734663,3.626533673,-86.37346633,33.62653367,-26.37346633,93.62653367
1,2,0,-1,-176.3734663,6,-1,-56.37346633,1,-116.3734663,1,3.626533673,8,0,7,61,-176.3734663,-56.37346633,-116.3734663,3.626533673,-86.37346633,33.62653367,-26.37346633,93.62653367
1,2,0,-1,-176.3734663,6,-1,-56.37346633,1,-116.3734663,1,3.626533673,8,6,9,55,-176.3734663,-56.37346633,-116.3734663,3.626533673,-86.37346633,33.62653367,-26.37346633,93.62653367
1,2,0,-1,-176.3734663,6,-1,-56.37346633,1,-116.3734663,1,3.626533673,8,7,3,55,-176.3734663,-56.37346633,-116.3734663,3.626533673,-86.37346633,33.62653367,-26.37346633,93.62653367
1,2,0,-1,-176.3734663,6,-1,-56.37346633,1,-116.3734663,1,3.626533673,8,4,6,54,-176.3734663,-56.37346633,-116.3734663,3.626533673,-86.37346633,33.62653367,-26.37346633,93.62653367
1,2,0,-1,-176.3734663,6,-1,-56.37346633,1,-116.3734663,1,3.626533673,8,5,5,48,-176.3734663,-56.37346633,-116.3734663,3.626533673,-86.37346633,33.62653367,-26.37346633,93.62653367
1,2,0,-1,-176.3734663,6,-1,-56.37346633,1,-116.3734663,1,3.626533673,8,7,8,51,-176.3734663,-56.37346633,-116.3734663,3.626533673,-86.37346633,33.62653367,-26.37346633,93.62653367
1,2,0,-1,-176.3734663,6,-1,-56.37346633,1,-116.3734663,1,3.626533673,8,5,2,65,-176.3734663,-56.37346633,-116.3734663,3.626533673,-86.37346633,33.62653367,-26.37346633,93.62653367
1,2,0,-1,-176.3734663,6,-1,-56.37346633,1,-116.3734663,1,3.626533673,8,2,1,64,-176.3734663,-56.37346633,-116.3734663,3.626533673,-86.37346633,33.62653367,-26.37346633,93.62653367
1,3,0,-1,152.6869882,7,-1,272.6869882,6,212.6869882,4,332.6869882,4,6,6,56,152.6869882,272.6869882,212.6869882,332.6869882,242.6869882,362.6869882,302.6869882,422.6869882
1,3,0,-1,152.6869882,7,-1,272.6869882,6,212.6869882,4,332.6869882,4,7,3,64,152.6869882,272.6869882,212.6869882,332.6869882,242.6869882,362.6869882,302.6869882,422.6869882
1,3,0,-1,152.6869882,7,-1,272.6869882,6,212.6869882,4,332.6869882,4,3,7,53,152.6869882,272.6869882,212.6869882,332.6869882,242.6869882,362.6869882,302.6869882,422.6869882
1,3,0,-1,152.6869882,7,-1,272.6869882,6,212.6869882,4,332.6869882,4,6,4,55,152.6869882,272.6869882,212.6869882,332.6869882,242.6869882,362.6869882,302.6869882,422.6869882
1,3,0,-1,152.6869882,7,-1,272.6869882,6,212.6869882,4,332.6869882,4,3,1,54,152.6869882,272.6869882,212.6869882,332.6869882,242.6869882,362.6869882,302.6869882,422.6869882
1,3,0,-1,152.6869882,7,-1,272.6869882,6,212.6869882,4,332.6869882,4,7,9,55,152.6869882,272.6869882,212.6869882,332.6869882,242.6869882,362.6869882,302.6869882,422.6869882
1,3,0,-1,152.6869882,7,-1,272.6869882,6,212.6869882,4,332.6869882,4,7,8,66,152.6869882,272.6869882,212.6869882,332.6869882,242.6869882,362.6869882,302.6869882,422.6869882
1,3,0,-1,152.6869882,7,-1,272.6869882,6,212.6869882,4,332.6869882,4,5,2,56,152.6869882,272.6869882,212.6869882,332.6869882,242.6869882,362.6869882,302.6869882,422.6869882
1,3,0,-1,152.6869882,7,-1,272.6869882,6,212.6869882,4,332.6869882,4,0,5,65,152.6869882,272.6869882,212.6869882,332.6869882,242.6869882,362.6869882,302.6869882,422.6869882
1,4,0,-1,94.68891842,3,-1,214.6889184,1,154.6889184,5,274.6889184,5,0,6,62,94.68891842,214.6889184,154.6889184,274.6889184,184.6889184,304.6889184,244.6889184,364.6889184
1,4,0,-1,94.68891842,3,-1,214.6889184,1,154.6889184,5,274.6889184,5,7,4,60,94.68891842,214.6889184,154.6889184,274.6889184,184.6889184,304.6889184,244.6889184,364.6889184
1,4,0,-1,94.68891842,3,-1,214.6889184,1,154.6889184,5,274.6889184,5,0,5,75,94.68891842,214.6889184,154.6889184,274.6889184,184.6889184,304.6889184,244.6889184,364.6889184
1,4,0,-1,94.68891842,3,-1,214.6889184,1,154.6889184,5,274.6889184,5,3,9,34,94.68891842,214.6889184,154.6889184,274.6889184,184.6889184,304.6889184,244.6889184,364.6889184
1,4,0,-1,94.68891842,3,-1,214.6889184,1,154.6889184,5,274.6889184,5,7,3,38,94.68891842,214.6889184,154.6889184,274.6889184,184.6889184,304.6889184,244.6889184,364.6889184
1,4,0,-1,94.68891842,3,-1,214.6889184,1,154.6889184,5,274.6889184,5,1,7,61,94.68891842,214.6889184,154.6889184,274.6889184,184.6889184,304.6889184,244.6889184,364.6889184
1,4,0,-1,94.68891842,3,-1,214.6889184,1,154.6889184,5,274.6889184,5,7,2,48,94.68891842,214.6889184,154.6889184,274.6889184,184.6889184,304.6889184,244.6889184,364.6889184
1,4,0,-1,94.68891842,3,-1,214.6889184,1,154.6889184,5,274.6889184,5,4,1,29,94.68891842,214.6889184,154.6889184,274.6889184,184.6889184,304.6889184,244.6889184,364.6889184
